,trial_number,mean_bal_acc,n_subjects,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
count,120.0,120.0,120.0,120,120,120,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
unique,,,,1,1,2,,,,,,,,,,,,,,,,,,
top,,,,False,True,"(1, 3)",,,,,,,,,,,,,,,,,,
freq,,,,120,120,98,,,,,,,,,,,,,,,,,,
mean,66.60833333333333,0.4265898333333334,9.0,,,,4.904592465001081,73.74523842491041,-3.281468062486645,0.0011444355833333333,100.0,32.0,4.0,20.0,23.858333333333334,3.2583333333333333,35.93333333333333,5.983333333333333,11.65,4.441666666666666,6.125,0.3785219001149022,0.6839282935759933,19.126581240735806
std,38.61298946186468,0.04042270745183572,0.0,,,,3.8764655327362525,29.29810202532987,0.5754431592998616,0.0016195993794326053,0.0,0.0,0.0,0.0,5.901567707021603,0.9303097282497858,15.272721512846477,1.6346219121002286,6.572990314968696,2.0815146123033803,1.4642088522561287,0.1499935108010197,0.11005204821330852,13.783035809284643
min,2.0,0.289738,9.0,,,,1.0491936468876106,24.73721514720892,-4.494419658812396,3.203e-05,100.0,32.0,4.0,20.0,9.0,1.0,8.0,2.0,4.0,2.0,2.0,0.1024409186554544,0.5021425352401951,0.2132128939011597
25%,31.75,0.411217,9.0,,,,2.348140436987012,48.47700606291201,-3.614138510718423,0.00024315749999999998,100.0,32.0,4.0,20.0,19.0,3.0,24.5,5.0,7.0,3.0,5.0,0.293232789220494,0.5944679662283464,9.689678965208945
50%,67.5,0.435378,9.0,,,,3.7294735444430995,72.04162800932056,-3.2633467801582947,0.0005453249999999999,100.0,32.0,4.0,20.0,25.0,4.0,38.5,6.0,10.0,4.0,6.0,0.36798985952443086,0.6824170969547174,14.933177881116078
75%,100.25,0.452932,9.0,,,,5.923821244209323,101.78925023184146,-2.8519240994794077,0.0014064825,100.0,32.0,4.0,20.0,28.25,4.0,48.0,7.0,15.25,6.0,7.0,0.4798493082360566,0.746662426039393,27.206579346689225
max,134.0,0.492284,9.0,,,,19.112277178899514,118.91556908705928,-2.078054858159585,0.00835497,100.0,32.0,4.0,20.0,32.0,4.0,64.0,8.0,31.0,8.0,8.0,0.7485814646507819,0.9800114379169784,59.03492123420352
